,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
14,acoustic,Only Girl (In The World) (feat. Alex Goot),3ohNs5SYgwCjnxl8QSjqvR,0,-9.538,118.094,237849,0.56,11,0.0,0.0341,0.467,0.719
15,acoustic,Thank You,3yUcJwYu7fXAfqMj9krY6l,68,-9.942,79.984,218360,0.583,1,0.000215,0.0424,0.765,0.725
16,acoustic,Bang Bang - My Baby Shot Me Down,1s2I9Q7zAE78m7aVZOq3ug,58,-22.644,186.46,160440,0.12,5,0.0963,0.0514,0.382,0.356
17,acoustic,Safe & Sound - from The Hunger Games Soundtrack,0z9UVN8VBHJ9HdfYsOuuNf,66,-10.807,144.317,240067,0.3,7,1.04e-05,0.028,0.289,0.472
18,acoustic,Banana Pancakes,451GvHwY99NKV4zdKPRWmv,70,-8.053,114.303,191907,0.375,7,8.66e-06,0.0996,0.615,0.816
19,acoustic,Chariot - Stripped Version,4wYIQRvu7JpP3h2v5o1IOe,43,-9.807,128.171,299307,0.374,7,0.0,0.0353,0.207,0.48
20,acoustic,Don't Stop Believin',71Qc66ucEtfXYUj6U2it9l,0,-9.731,113.872,256160,0.234,7,0.0,0.0299,0.302,0.424
21,acoustic,Girl On Fire,6qOEjO2IUD7PjtpsXawq0d,5,-5.762,92.494,224920,0.706,9,0.00106,0.0609,0.144,0.482
22,acoustic,Tears in Heaven,7utRJ4BeYx85khzP3lKoBX,62,-12.238,153.744,271760,0.242,9,0.536,0.0257,0.312,0.498
23,acoustic,Slow It Down,574GJ55EBM79W6n2V5bL5z,0,-14.42,142.436,307000,0.064,1,0.0,0.0374,0.108,0.428
24,acoustic,Kids,3Dy8QVSgVB3qNw9Xtc2Jjw,38,-7.393,115.945,235862,0.763,9,2.22e-05,0.0364,0.348,0.67
25,acoustic,Poison & Wine,3wsZYuHJrk3lssa7V7jvye,57,-12.729,153.848,219467,0.186,1,7.3e-05,0.0288,0.203,0.285
26,acoustic,Free,4oiPC90DjIQXXgMMgbHK4G,3,-6.624,124.997,148600,0.464,5,0.0,0.0386,0.851,0.793
27,acoustic,Lego House,53Pgsvu3qSYO2aXt5J2vcL,59,-8.48,159.701,185093,0.637,11,0.0,0.0992,0.565,0.592
28,acoustic,Slide,5oj4FLgWpYNgl1H6zK5AVR,0,-11.87,107.931,224653,0.37,7,0.0,0.0285,0.572,0.545
29,acoustic,Someone Like You,6QPKYGnAW9QozVz2dSWqRg,79,-8.251,135.047,285240,0.321,9,0.0,0.028,0.288,0.554
30,acoustic,Through Glass,76aadnUFFANRNDs6L3aqxw,54,-4.618,105.754,282947,0.753,3,0.0,0.036,0.434,0.545
31,acoustic,Halo,5mVDhLnXTHlBWJnMHXa9Qs,62,-17.343,116.826,269920,0.121,9,0.00111,0.036,0.063,0.576
32,acoustic,Wonderwall,2CT3r93YuSHtm57mjxvjhH,8,-4.373,174.426,258613,0.892,2,0.0,0.0336,0.651,0.409
33,acoustic,More Than This,5d8L73s2DVUlIi4KENcxeO,42,-12.145,115.909,252227,0.296,7,1.12e-05,0.036,0.542,0.716
34,acoustic,Come As You Are,4yzgjSHWy5E8fKflgwaKQh,6,-8.714,119.196,253893,0.79,5,0.00183,0.0416,0.581,0.684
35,acoustic,Fast Car,2M9ro2krNb7nr7HSprkEgo,78,-15.523,103.951,296800,0.292,4,0.0,0.037,0.194,0.711
36,acoustic,Mean (feat. Megan Nicole),2Drc9PoczynmltogkEhrFg,0,-6.974,81.747,240159,0.425,8,0.0,0.0297,0.377,0.459
37,acoustic,Behind Blue Eyes,2kA0IBd1u0Be6QJE60Ty6F,1,-6.64,120.268,269973,0.476,7,0.0,0.0265,0.085,0.587
38,acoustic,Through The Dark,3Xakb20OXM5ZArqHqPTpiZ,0,-18.624,123.211,330067,0.127,7,0.916,0.0439,0.189,0.566
39,acoustic,Gone,5xZV3jkOFbKLH7ywEqGORA,46,-5.514,120.139,158827,0.666,2,1.05e-06,0.0774,0.582,0.725
40,acoustic,All the Wild Horses,2X5S5NV8Bj4WNTCnur6Ylt,42,-22.157,96.335,196453,0.0691,4,0.303,0.0307,0.111,0.325
41,acoustic,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,72,-16.67,74.993,280853,0.227,2,0.00469,0.0498,0.182,0.589
42,acoustic,Old Pine,0Qw7qGuXlVBZLcfoQ17yZn,5,-10.749,128.764,328507,0.358,5,0.0479,0.033,0.226,0.419
43,acoustic,Die In Your Arms,6RgSSndg8PUH2UcaCgia5V,0,-5.11,171.66,237293,0.876,7,3.49e-06,0.116,0.763,0.568
44,acoustic,Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,75,-7.844,94.605,153467,0.432,7,0.0,0.0302,0.648,0.475
45,acoustic,O Sleep,4chSOYRiaa7pYZkWljsrMr,28,-9.781,105.322,206507,0.36,5,0.000472,0.029,0.138,0.421
46,acoustic,Lucky,0IktbUcnAGrvD03AWnz3Q8,76,-8.699,130.032,191360,0.417,0,0.0,0.0354,0.721,0.623
47,acoustic,Broken Strings,1HyBdd35ssTpPU4Lytz7BI,1,-4.558,111.859,253813,0.719,1,0.0,0.0295,0.339,0.568
48,acoustic,To Be Alone With You,3K9PY33TKt25UXX6YymFQq,1,-17.061,141.995,165213,0.185,0,0.848,0.0495,0.342,0.516
49,acoustic,We Are Never Ever Getting Back Together (feat. Hannah Trigwell),3L4wSIOXkn1hj0S9zkKRnC,0,-9.049,145.393,207967,0.375,0,0.0,0.0303,0.292,0.502
50,acoustic,Beneath Your Beautiful (feat. Emeli Sandé),2EcsgXlxz99UMDSPg5T8RF,68,-5.857,83.977,271813,0.522,2,0.0,0.036,0.228,0.558
51,acoustic,Gravity - Live In Concert,0FRoVng8IZZoS0ATxIgvuH,42,-9.599,115.281,349253,0.344,7,0.00329,0.035,0.477,0.543
52,acoustic,All Around The World,45qSLEJKJTwKTSBOa8LxPY,0,-3.876,127.98,244547,0.822,3,1.1e-06,0.194,0.776,0.697
53,acoustic,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",1fRYJWQZw6IGZU6u3rpqBO,1,-5.736,95.994,230787,0.371,5,0.0,0.0352,0.646,0.758
54,acoustic,Empire State of Mind (Part II) Broken Down,5sra5UY6sD658OabHL3QtI,73,-7.784,92.959,216480,0.368,6,4.1e-05,0.0341,0.142,0.479
55,acoustic,Breakdown,3cnRYoW4nYzIuVPCp7k5iG,57,-9.252,74.977,212707,0.394,0,1.36e-05,0.0516,0.443,0.773
56,acoustic,Let's Stay Together,75q69wO42dZP8VHnEAtPZe,40,-14.961,95.009,242281,0.239,4,6.19e-06,0.0718,0.509,0.812
57,acoustic,Home/Dirty Paws,24rFwAcC6eqPvyMuPynVGH,58,-10.89,115.028,173509,0.208,2,0.0,0.0313,0.232,0.663
58,acoustic,No One's Gonna Love You - Live from Spotify Sweden,5MYfpFJYm8WNFGssR6H2Oz,50,-10.676,135.657,239080,0.188,1,1.2e-06,0.036,0.192,0.547
59,acoustic,Little Lion Man,6b5rA9rthDbZDOQp9UbOgl,5,-8.051,138.579,245173,0.492,5,3.2e-05,0.0272,0.455,0.517
60,acoustic,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,81,-8.74,138.265,295533,0.418,3,0.00195,0.0338,0.123,0.209
61,acoustic,Autumn Leaves - Deluxe Edition,7iBSkXB0pTvZasOLf0Qxk9,57,-12.637,89.013,200756,0.257,10,1.42e-06,0.0299,0.431,0.555
62,acoustic,Crosses,5gf6t8j49qayhwrnd05uLI,0,-9.945,134.631,161840,0.37,11,0.0235,0.0295,0.318,0.666
63,acoustic,XO,7cpCU3Denug5NGZsSpQl8v,72,-9.753,173.67,213627,0.377,2,0.0,0.0288,0.353,0.431
64,acoustic,Peace,2xwsf9FuFINP1X4FTsqZ7Q,56,-5.965,178.141,215915,0.721,9,0.0,0.0392,0.493,0.449
65,acoustic,Where The Streets Have No Name - Unplugged,2Gy3tEwecEcO45QDNtiAti,0,-6.357,126.198,269667,0.708,0,0.000109,0.0464,0.0526,0.314
66,acoustic,"Shake It Out - MTV Unplugged, 2012",7eA8EGUwSdCtzraYYaE8ci,57,-5.662,112.047,278627,0.761,5,0.0,0.0517,0.402,0.469
67,acoustic,Romeo (Accoustic),2EBVfvLVDCMyChanmUXBdz,28,-7.911,120.214,215160,0.473,2,0.000347,0.0461,0.206,0.55
68,acoustic,Yellow,7DXlTMw0vkYFRWfQMXoNam,0,-11.307,87.986,267240,0.285,11,0.0,0.0268,0.277,0.64
69,acoustic,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,77,-8.822,141.284,229400,0.147,2,2.89e-06,0.0355,0.0765,0.407
70,acoustic,Your Song,1hVQx6bg4uKPljAUkNjpY2,4,-11.864,130.081,190346,0.182,10,0.000237,0.032,0.434,0.42
71,acoustic,Over The Rainbow,3bINd6fURyFLT0sQwkjbCG,4,-15.703,85.1,212080,0.116,0,2.59e-05,0.0412,0.68,0.677
72,acoustic,Just The Way You Are,24lMtPOCzP5g4hrg3NklLa,9,-5.413,109.012,220733,0.843,5,0.0,0.0432,0.434,0.637
73,acoustic,Use Somebody (feat. Hannah Trigwell),7LpDHwLUGXaRve1OBNnYy3,0,-8.718,129.482,197125,0.271,0,0.0,0.0363,0.265,0.358
74,acoustic,Common Denominator - iTunes Bonus,3xEP8kzYIjbkUrjfsgn8Hh,0,-6.544,116.959,248920,0.66,0,0.0,0.0274,0.45,0.655
75,acoustic,Angel,3xZMPZQYETEn4hjor3TR1A,68,-16.092,117.131,270400,0.0744,1,1.22e-05,0.0355,0.125,0.532
76,acoustic,Be the Song,5A1u2GMvgMOMECWuYRBNc1,0,-17.203,106.155,393493,0.308,7,0.718,0.0276,0.117,0.498
77,acoustic,How We Do (Party) - Live from Spotify NYC,0gw9t8io80CCz8XuH440PC,38,-5.922,107.302,281653,0.575,7,0.0,0.0999,0.866,0.706
78,acoustic,"You Need Me, I Don't Need You",5KL4iZkCTZyXl7KnHgfVDj,63,-8.837,103.483,220413,0.837,7,0.0,0.0512,0.927,0.749
79,acoustic,Black Flies,6zZGFzAUk3g2Uae9fLYlDl,1,-13.039,132.063,381507,0.35,8,0.00405,0.0291,0.112,0.573
80,acoustic,Each Coming Night,0mh7eTsBmQj29bkgpQKoPj,1,-15.517,163.354,207720,0.23,2,0.517,0.0359,0.415,0.361
81,acoustic,Waiting On the World to Change (feat. Ben Harper),1BiJWoCw1xoYcZ76EO3IKV,49,-6.593,175.321,171667,0.624,2,3.13e-06,0.0954,0.619,0.544
82,acoustic,Sweater Weather - Spotify Sessions Curated by Jim Eno,7sDzAu7alAL1hWvL86tSGB,54,-14.659,102.68,191560,0.165,8,0.000544,0.0502,0.258,0.61
83,acoustic,E.T.,0bxllxzqkGNSKo8pHtZyA3,34,-9.091,149.99,180875,0.457,8,7.72e-05,0.0339,0.223,0.626
84,acoustic,Beautiful Girl,20uM0XClhB6PYrlFrZSMsG,0,-17.422,82.168,158229,0.17,0,0.39,0.0461,0.336,0.461
85,acoustic,Skinny Love,78wvHiOarfOut310PnUnIr,36,-9.328,140.086,238505,0.305,11,0.0,0.0509,0.0953,0.479
86,acoustic,"Next To Me - Live From Spotify NYC, USA/2012",4Y1ZvAbetcpZsmedL9uhmR,38,-7.939,92.401,220792,0.397,7,0.0,0.0734,0.294,0.477
87,acoustic,Beach Baby,6bp1twiUg81a04GVGXHIsc,0,-17.228,114.378,160093,0.0774,0,0.303,0.0374,0.111,0.666
88,acoustic,Imagine,3piY5aMfwEEmXMV6I9kpoi,63,-18.254,141.946,219080,0.179,6,0.024,0.0362,0.374,0.554
89,acoustic,Be Good Or Be Gone,47naQObKzS2GJ26XREdA8B,0,-11.846,94.125,199840,0.289,8,0.149,0.0362,0.437,0.592
90,acoustic,We Don't Eat,2Fpf5a5fGDWSHNj1iIPc5W,51,-12.432,124.032,293792,0.373,7,0.00506,0.0472,0.314,0.458
91,acoustic,Keep Your Head Up,2JFmTONwQdRaOj2s2DhFah,2,-8.244,157.965,261561,0.584,4,3.33e-05,0.0351,0.427,0.444
92,acoustic,Gangnam Style,6mFzy1Jha9RSCcQAJZ1M6y,41,-10.827,114.07,182800,0.391,0,0.0,0.0518,0.591,0.825
93,acoustic,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,82,-6.061,78.998,281560,0.445,2,0.0,0.0295,0.591,0.781
94,acoustic,Favorite Girl,2ExDOkVH2e1oElyTVzF77q,0,-4.469,176.034,256800,0.681,7,0.0,0.0435,0.634,0.581
95,acoustic,"No Light, No Light - MTV Unplugged, 2012",4PTPbE3HvhxB9z3SYMBfz6,48,-10.257,95.67,252667,0.231,0,0.0,0.0396,0.156,0.383
96,acoustic,I Will Wait,71O1jD7bF3cdMPvPi186V6,5,-5.056,131.004,276720,0.776,1,0.00314,0.0349,0.429,0.477
97,acoustic,Shimmer (feat. Tyler Ward),5xyPfRcUicolIDwa4PZKG0,0,-7.52,114.694,200895,0.595,6,0.0,0.0341,0.367,0.625
98,acoustic,Ain't No Sunshine,3gJgUanZ5JcFZJ1a5hM3dw,2,-8.151,78.884,122640,0.484,4,0.000228,0.0462,0.542,0.524
99,acoustic,Rolling in the Deep,6ZPJun3hVXkjR62q6GxJh1,39,-10.55,105.006,248147,0.457,0,0.00168,0.0279,0.528,0.799
100,afrobeat,Sakanto,4HGBN3YT56aVuUXUkrUZIC,23,-12.893,109.651,272160,0.32,5,0.0483,0.0487,0.505,0.793
101,afrobeat,Chop Dat Money - Remix,3GuT26T92ZX1c3lHKLBVzs,23,-5.424,127.01,272126,0.808,5,1.26e-06,0.0864,0.858,0.801
102,afrobeat,Chet Boghassa,3q3fajucnQJuVlk7nM0jw1,9,-10.502,94.895,232840,0.611,2,0.0106,0.0337,0.808,0.726
103,afrobeat,Mogo Te Diya Bee Ye,6hOTreO6Wm7Con3alDgL2i,0,-8.321,114.42,250707,0.498,10,0.0,0.125,0.709,0.727
104,afrobeat,Kothbiro,0oiNsnH40PPTBFqixyPTWG,43,-17.082,76.906,334827,0.0691,4,0.00434,0.0331,0.486,0.394
105,afrobeat,Bassekou,2UDFkcyY8nmk45kNj6ZSBr,25,-7.353,148.77,201733,0.756,5,0.00808,0.0537,0.964,0.497
106,afrobeat,Timber (feat. Ke$ha),1zHlj4dQ8ZAtrayhuDDmkY,60,-4.106,129.972,204053,0.965,11,0.0,0.101,0.825,0.587
107,afrobeat,Dununya (The World),1IUmBlugt4tehbVPGDnSAo,0,-6.714,86.27,196480,0.756,11,0.000117,0.0358,0.945,0.611
108,afrobeat,Didi,69VsivnnXLXkuTGpBxyMxI,0,-9.409,98.748,302600,0.812,1,0.000422,0.0515,0.804,0.719
109,afrobeat,Kuzohlatshelelwa,0B9fgmIB70zCIM7LXCHYpn,0,-8.357,137.774,208947,0.411,3,0.0,0.173,0.76,0.515
110,afrobeat,Bankiero,1ObpdyeflH3vPflN3lEpiS,0,-5.825,130.138,218267,0.98,0,0.154,0.034,0.878,0.687
111,afrobeat,"Hakuna Matata - From ""The Lion King""/Soundtrack",5k3U0OGYBccHdKJJu3HrUN,69,-18.09,170.013,213600,0.313,0,1.18e-05,0.137,0.725,0.408
112,afrobeat,Good Or Bad (Oway),1jqBgNjP5yfjCrAgJZE0be,30,-4.646,107.958,245627,0.842,7,4.63e-05,0.0464,0.936,0.784
113,afrobeat,Sabali - Vitalic Remix Radio Edit,6mRemwiU9Glk3sO47B1qiN,0,-7.242,126.026,195307,0.856,7,0.389,0.0616,0.522,0.597
114,afrobeat,Ole Buruku,1SV8vGscmm8g83FFSu948l,20,-5.662,126.636,243853,0.81,9,5.75e-05,0.0482,0.865,0.744
115,afrobeat,Machengoidi,5O5RoaM2fwz0tHOtJRjez8,0,-12.151,136.82,305893,0.261,11,0.737,0.0371,0.241,0.603
116,afrobeat,Dale Don Dale,0uDWeoqlZi98NqUKbNJxVK,0,-6.471,95.028,214653,0.852,6,0.000264,0.0789,0.813,0.825
117,afrobeat,Sonkolon,1L7b7pfGmRmNoGDpXG3OJa,0,-12.131,104.007,211747,0.373,6,0.0514,0.0384,0.59,0.754
118,afrobeat,Ki dit mié,2JpZm1eGQGIeOe7tSld4qQ,0,-2.217,127.957,177400,0.948,0,0.0,0.0583,0.957,0.744
119,afrobeat,Il N'est Jamais Trop Tard,4ls2EezIHWWQDLubJzM88f,0,-13.573,83.783,271053,0.483,7,0.0623,0.0667,0.894,0.676
120,afrobeat,Mole,1L7EfY9OZnNSX24HMn7aI4,0,-12.019,126.483,345107,0.934,7,0.152,0.063,0.963,0.66
121,afrobeat,Ruby,7cavYwUJmzqjWozykoPQFg,1,-12.102,177.659,355840,0.31,9,0.687,0.0398,0.408,0.361
122,afrobeat,Dianfa,1dkvVCIP2IH8xLq94UROIU,20,-16.894,98.284,272587,0.213,4,0.00385,0.0313,0.379,0.631
123,afrobeat,Beng Beng Beng,1dfXWdnp0hlV3nmyc2stei,0,-7.83,126.026,286000,0.879,5,0.00218,0.072,0.912,0.756
124,afrobeat,Boul Di Tagale,7pckMu8DveYapYhn18okZN,0,-11.285,113.153,369440,0.779,1,0.16,0.0425,0.583,0.751
125,afrobeat,Bakonoba,78xjHkTjL40U44T1ogbE6r,0,-9.268,111.835,195600,0.543,11,0.00263,0.212,0.811,0.752
126,afrobeat,Bobo,3wRuMqW2OPpyOnhg3yT3M7,17,-8.963,104.007,357133,0.505,0,6.85e-05,0.0295,0.767,0.755
127,afrobeat,E No Easy,29qdAuTujxZn2iZspZrena,0,-5.453,215.773,262707,0.811,11,0.0,0.227,0.766,0.663
128,afrobeat,Je t'aime,2MYW5cwMeHoqA8a9pvpqu8,0,-8.22,118.633,301053,0.862,10,0.0251,0.118,0.934,0.666
129,afrobeat,Expensive Shit,43yvCb6wQyRQbpXY9qvL3j,3,-7.664,124.281,791216,0.874,7,0.395,0.114,0.682,0.612
130,afrobeat,Diamonds on the Soles of Her Shoes,71GvlH0VdeClloLIkHrAVu,64,-9.724,110.64,349280,0.677,5,0.00121,0.0356,0.876,0.791
131,afrobeat,Savane,2waQKyhYkF4GX2Qc1OsmrD,0,-10.45,135.866,463267,0.279,4,0.134,0.0615,0.509,0.776
132,afrobeat,Bukom Mashie,5AuyKHhhNQp8ZlWVJSrLdx,0,-7.491,131.133,307480,0.748,9,0.0209,0.0433,0.43,0.643
133,afrobeat,Malembe,4BBieNFNCCv70oHXk9zpNv,18,-7.021,127.04,295627,0.793,7,2.97e-05,0.119,0.721,0.745
134,afrobeat,Sabali,3YrIjupEa0IWX0LZcqdEaU,0,-6.571,124.033,196813,0.652,0,0.506,0.0296,0.163,0.604
135,afrobeat,Boom Boom Tah,2eOF6b7HDh0GBmS0QSeAxz,0,-4.128,126.019,262240,0.865,2,5.04e-05,0.0758,0.753,0.762
136,afrobeat,I Love U,2c6Ah6OH4ScnjniS0t5gTH,0,-6.6,97.971,278680,0.694,10,0.0,0.18,0.927,0.585
137,afrobeat,Johnny,5eDb1qBsq3rElJLJMo46FB,37,-6.385,125.084,236013,0.711,5,0.000229,0.194,0.864,0.848
138,afrobeat,Loca (Featuring Dizzee Rascal),7CU9mgM4huOC03ACFkLlRJ,0,-4.01,112.042,193480,0.877,4,7.76e-06,0.063,0.848,0.802
139,afrobeat,Bul Ma Miin,02gdUiSCcHDbTtqkPDHOs5,0,-7.551,138.548,362813,0.757,9,0.00303,0.0512,0.655,0.574
140,afrobeat,Lover,7N1j24kle7JMNF4pcHTvwe,20,-8.324,132.801,371040,0.436,0,0.587,0.0329,0.674,0.587
141,afrobeat,Azonto,3LZMPBsDMfp9Z2bO60Gm8a,0,-5.83,130.059,170808,0.916,7,0.0,0.0534,0.666,0.634
142,afrobeat,Iswegh Attay,2k9YW039dvyNheljQQ2KrM,0,-10.742,156.047,336120,0.446,0,0.0114,0.0506,0.586,0.547
143,afrobeat,Tonkara,76y8GX2JAHXoB3U3i4ahOC,0,-4.907,131.864,392600,0.94,1,0.0,0.236,0.946,0.507
144,afrobeat,Yala,4SfxzVkGFzgW0U83Y8brVk,0,-8.603,115.684,245840,0.891,10,5.65e-06,0.0379,0.912,0.778
145,afrobeat,All the Same,1nwWS19NmjdNr4IlMuvRWX,0,-6.821,149.526,269693,0.716,11,1.93e-06,0.0377,0.404,0.459
146,afrobeat,Mongali,5xGeFN1C6m8XvP0RATLjJ1,0,-13.061,142.418,305373,0.426,0,0.0,0.0368,0.938,0.641
147,afrobeat,Ce N'est Pas Bon,5MLW8jzgAdr5pJxPl1qIMS,0,-3.813,116.056,229800,0.712,6,0.000188,0.027,0.734,0.721
148,afrobeat,Laidu,05CF4ATpqROLTQVYABNZ3W,52,-15.172,99.747,386973,0.269,10,0.0406,0.0365,0.397,0.702
149,afrobeat,Warbé,7fm6LShF3yl3pevyUtq67v,0,-17.785,148.516,291227,0.247,4,0.872,0.045,0.373,0.601
150,afrobeat,Skelewu,3X1gFPtj3qdvJCDgXj4Aym,0,-3.098,121.009,187507,0.851,10,1.85e-06,0.109,0.836,0.832
151,afrobeat,Pata Pata,4S4dCACmtuPWbhvMSfDXqN,2,-7.278,126.038,180147,0.788,3,0.0,0.0382,0.974,0.818
152,afrobeat,Antenna,3l33exrFeurvriZ5kfYHvH,0,-1.124,127.995,223126,0.949,6,0.000112,0.0553,0.849,0.774
153,afrobeat,Yes/No,6gWV9hYHjtg42Y2OwKokoP,18,-5.351,130.643,247396,0.631,11,1.57e-05,0.0689,0.778,0.537
154,afrobeat,No One Like U,7HfRKaXMxrMlVTmmyuOiFG,36,-2.878,102.0,268213,0.866,8,0.0,0.182,0.936,0.828
155,afrobeat,Senegal Fast Food,6DUzRepv6NcNAc5YyR2W01,0,-6.607,82.006,259107,0.911,0,2.66e-05,0.0347,0.877,0.635
156,afrobeat,Hold You [Hold Yuh],7MR2EsOZadH0QaagQiHCbk,40,-3.102,67.004,233253,0.632,8,0.0,0.0575,0.494,0.668
157,afrobeat,Iyo Djeli,0WjBwFCJ9lFyPrNKAogEew,0,-5.867,89.395,396627,0.734,10,7.13e-06,0.0413,0.836,0.593
158,afrobeat,Debe,7sLno3Q97OkgHDj3fnLckZ,0,-12.981,183.663,295573,0.305,5,0.552,0.0528,0.67,0.533
159,afrobeat,Kukere,3Yf8sVkFXThHDtkqtSNbpZ,0,-4.392,130.058,224836,0.853,1,0.00284,0.0601,0.965,0.757
160,afrobeat,5 and 6,3kIKWXjCRXQwhyCxRsyy3B,27,-4.421,125.067,249678,0.894,0,0.00029,0.0462,0.889,0.66
161,afrobeat,Allez Ola Olé,1xSl7uE9De7aLDEGXahCJB,52,-4.706,129.024,172746,0.934,11,1.08e-06,0.06,0.721,0.642
162,afrobeat,Gentleman,1wCaldygX7fpq4Hx4LjluH,26,-7.536,86.846,662307,0.794,10,0.0788,0.0604,0.678,0.651
163,afrobeat,Jambo Bwana,45ju38jQF05HOm1sInyFHG,0,-11.547,112.139,272600,0.575,9,0.0,0.0579,0.838,0.953
164,afrobeat,Possibility,2FgVxc84fG0OQr7v11cloX,0,-7.309,92.028,300400,0.621,8,0.0,0.374,0.882,0.69
165,afrobeat,Balance,0bjezk40HOayXIka1MlwDF,0,-8.785,84.903,272373,0.737,7,0.00554,0.0468,0.761,0.733
166,afrobeat,Baby Oku,2OuR1hZQQBk2GTo5cDtw2R,0,-4.258,95.023,236878,0.865,0,0.0,0.0363,0.883,0.709
167,afrobeat,Viva Nigeria,6kXfajPTXe0KcOxfzxeT3O,0,-10.59,125.347,227347,0.525,7,0.00216,0.0826,0.667,0.598
168,afrobeat,Taboo,4cyYC67XY3weSVmSLdKLP8,65,-5.811,187.38,292160,0.886,0,0.0,0.0828,0.808,0.43
169,afrobeat,Slow Down (feat. Wizkid),2eepRxzqOynKv8WObUtfTa,0,-2.985,137.625,259307,0.728,8,0.0,0.407,0.673,0.513
170,afrobeat,Beautiful Onyinye,3YlkOxWW57K0OpL7ZVVGqj,39,-4.725,99.96,292107,0.793,6,8.11e-06,0.057,0.896,0.709
171,afrobeat,Nou Pas Bouger,6DfYnlR5IrPzVJ4lPhtU6E,22,-8.165,130.489,434320,0.733,6,0.00703,0.0313,0.97,0.78
172,afrobeat,Water No Get Enemy,6jzbUvXYVbH6NrUS3WRMoL,3,-7.544,90.805,660480,0.93,10,0.0397,0.0528,0.902,0.641
173,afrobeat,Diarabi,07O7ypl5bdCKUop3MW7N9F,9,-9.935,108.915,194053,0.455,4,0.644,0.0282,0.531,0.579
174,afrobeat,Azonto (feat. Tiffany),2ajEyNbeRmncM8TmqlVM7w,0,-3.065,125.973,230035,0.895,6,0.0,0.157,0.961,0.892
175,afrobeat,Africain A Paris,7jHMD7iGcB9XEuZjUqurOR,0,-8.162,96.065,233027,0.568,6,2.2e-06,0.044,0.824,0.78
176,afrobeat,Be Mankan,2nOA0eWaCLdMuRQ0UVitoJ,0,-12.297,123.362,306960,0.206,4,0.38,0.0416,0.483,0.583
177,afrobeat,Greetings,2ha70kafYrxpwKB2DHLTJT,0,-6.04,116.681,374253,0.872,9,0.0345,0.148,0.822,0.693
178,afrobeat,Ha Po Zamani,3r9K3hDcw6LCQoRkw64toA,0,-8.893,168.166,177707,0.617,4,0.0,0.0457,0.914,0.538
179,afrobeat,Gongo Aso,5JEw4FrNlWmHxgBkw0jbEj,39,-2.742,110.03,224307,0.965,4,9.84e-05,0.0409,0.902,0.824
