index,Genre,Track_Name,Track_ID,Preview_Link
80,blues,Leaving Trunk,3E0VKSvZp76kvBU2WwwBul,https://p.scdn.co/mp3-preview/f8ebd8200d34a8aa0dc776d408c832f724eda5cd?cid=6410be731bfd4cf798c0e6e9a32589fc
81,blues,Stay Around A Little Longer (feat. B.B. King),48z2rCxqFdlMejXthnbCkX,https://p.scdn.co/mp3-preview/da7cb0b44565fedea04054c5adc2f588c011baaf?cid=6410be731bfd4cf798c0e6e9a32589fc
85,blues,Am I Wrong,3tvyQCSm1QcWURgGvygvke,https://p.scdn.co/mp3-preview/6093751a2ddef82fb28c23a0a211d3eff6d750cb?cid=6410be731bfd4cf798c0e6e9a32589fc
88,blues,Respect,7s25THrKz86DM225dOYwnr,https://p.scdn.co/mp3-preview/b0d0b4ec8963779239654542a0b33d25caf38156?cid=6410be731bfd4cf798c0e6e9a32589fc
91,blues,Shake Your Money Maker,3JPC78sNlPaiZ1NgztXW2Q,https://p.scdn.co/mp3-preview/3ea0e75cf1fce14e4e50584211e5bea39cc8924f?cid=6410be731bfd4cf798c0e6e9a32589fc
101,blues,Say What!,0IMD7hZXFjuvSVFae35B6X,https://p.scdn.co/mp3-preview/1895f8ef7526a822a0720ae1de9cf0ac7902dbe7?cid=6410be731bfd4cf798c0e6e9a32589fc
103,blues,I Can't Quit You Baby - 1990 Remaster,62QInSlXQI11BR9ycVWjd6,https://p.scdn.co/mp3-preview/cc9026dfefa863c2f076943ac32686c7b147fa13?cid=6410be731bfd4cf798c0e6e9a32589fc
104,blues,Tush,5QaQnaDC7nR1mkRN9zXNnS,https://p.scdn.co/mp3-preview/3fa214da554216fd801fa56848a6c56c8d20b8fb?cid=6410be731bfd4cf798c0e6e9a32589fc
106,blues,The Safety Dance,4UB3TaEGEY9WoOpxYNMgy4,https://p.scdn.co/mp3-preview/7754e8093a8cb00c06d69114e3dcc0e6e6ba8951?cid=6410be731bfd4cf798c0e6e9a32589fc
109,blues,Crossfire,5bAOP88AnFD11mTj0HisF2,https://p.scdn.co/mp3-preview/dea65d7413e3a12ba571c436de071ce127f8b882?cid=6410be731bfd4cf798c0e6e9a32589fc
111,blues,Baby What You Want Me To Do,05oMNN5Rbv6rVqyFFG9uTl,https://p.scdn.co/mp3-preview/7c36f14a89497d8bd2df6ea49f10f2f326b2d065?cid=6410be731bfd4cf798c0e6e9a32589fc
117,blues,I Got the Cross the River Jordan,4vqDFur1cyE8lS1oD3XiCB,https://p.scdn.co/mp3-preview/4ed0b703e28699c9985eaff433d22a7e3261be53?cid=6410be731bfd4cf798c0e6e9a32589fc
118,blues,Hell Hound On My Trail,5xjG7nV5ncQAHkuifsz4v3,https://p.scdn.co/mp3-preview/18eac22fca0a14f47e6a013e9528292058c7b0cd?cid=6410be731bfd4cf798c0e6e9a32589fc
120,blues,Jesus Just Left Chicago,4ixvwGGu9i5PMbLt2w3l2L,https://p.scdn.co/mp3-preview/ce29097717a1aa940d49897e4939cf59548790b9?cid=6410be731bfd4cf798c0e6e9a32589fc
123,blues,I'm a Steady Rollin' Man,2fiLNDU98eUDqDSiCadnoz,https://p.scdn.co/mp3-preview/9041316ecf3ad4323773d39ebb4488252954b67b?cid=6410be731bfd4cf798c0e6e9a32589fc
125,blues,While My Guitar Gently Weeps,1T94tcUfe2X74nriMCAWQa,https://p.scdn.co/mp3-preview/754f32b3df1cf7a69d3e999f97c6c969a2296014?cid=6410be731bfd4cf798c0e6e9a32589fc
134,blues,Pride and Joy,1oT20g6f8rvymheUIdFr19,https://p.scdn.co/mp3-preview/f08f0efeb88781ec3e85b53abab03df0f4f8bd38?cid=6410be731bfd4cf798c0e6e9a32589fc
140,blues,Be Careful With a Fool,3YGsgJqtIWKjMjZtKLk11Z,https://p.scdn.co/mp3-preview/7d095e62fd09e44d8ce5f998997d0b5c728df42b?cid=6410be731bfd4cf798c0e6e9a32589fc
142,blues,Hit The Road Jack,7sXxvOVFtMr31xj0kX9BFV,https://p.scdn.co/mp3-preview/6a6d2864662f2f9143b2e91bac52f9690fcaf8b9?cid=6410be731bfd4cf798c0e6e9a32589fc
145,blues,Tin Pan Alley (AKA Roughest Place in Town),7zto61V8ySp03Qi6X1LU2X,https://p.scdn.co/mp3-preview/c27871e6e8f42401527822dd3553af69d252ef1a?cid=6410be731bfd4cf798c0e6e9a32589fc
146,blues,Get Back,4267BjujPBkzhdlbXYHQHG,https://p.scdn.co/mp3-preview/716cddd6cc37fa6a3c84dfdfeef187dd482bb855?cid=6410be731bfd4cf798c0e6e9a32589fc
149,blues,Devil Got My Woman,6Ym6k8hxEi5ytfLwbMHW0T,https://p.scdn.co/mp3-preview/a7689f2af1cb46293f3f380f263f4335e1469b18?cid=6410be731bfd4cf798c0e6e9a32589fc
150,blues,Honey Bee,0W4EvXCjLH6OQjtDVzdPWg,https://p.scdn.co/mp3-preview/7624d3d507a83af2a52ca6c11cc138fac7dcb7ba?cid=6410be731bfd4cf798c0e6e9a32589fc
151,blues,Fearless,4g01SZ5qUiuiKcIA3meob1,https://p.scdn.co/mp3-preview/c196a7adef1f10b237f566c7d83f0d43d2d9b2a9?cid=6410be731bfd4cf798c0e6e9a32589fc
152,blues,I Put a Spell on You (feat. Joss Stone),3Be7vJDOFNOVv3iYQgIQpu,https://p.scdn.co/mp3-preview/65232294713eb3d89abe0cd677f9f206db4c063a?cid=6410be731bfd4cf798c0e6e9a32589fc
157,blues,Working Man,4Gia17DzXBhYFbYiJj6SyW,https://p.scdn.co/mp3-preview/95db634a0536a6343e7e35f90bd1213d2bb63a90?cid=6410be731bfd4cf798c0e6e9a32589fc
158,blues,The Things (That) I Used to Do,6D3CM7JLJCpVQ48tGSCVCb,https://p.scdn.co/mp3-preview/2c733fddc28397dcbe042bb53faf8e07798e3caf?cid=6410be731bfd4cf798c0e6e9a32589fc
159,blues,Since I've Been Loving You - 1990 Remaster,27Mq86KAZ9O4V6DQ6gbSR9,https://p.scdn.co/mp3-preview/cc37f9915255a3d18945412c413fed5a07d088ae?cid=6410be731bfd4cf798c0e6e9a32589fc
164,blues,Ac-Cent-Tchu-Ate the Positive,2W2wbW6pdWATNGMQIJWORI,https://p.scdn.co/mp3-preview/4346c98de592dd6d0c22e4de035f139385e69e68?cid=6410be731bfd4cf798c0e6e9a32589fc
167,blues,Little Wing,5XNpdKmlLJPUbwKQceX2tW,https://p.scdn.co/mp3-preview/d4eb7e90f46ea5984c68354631cd82f563767e5c?cid=6410be731bfd4cf798c0e6e9a32589fc
171,blues,Howlin' for You,0grFc6klR3hxoHLcgCYsF4,https://p.scdn.co/mp3-preview/a5c29239ea62843247c24be6008222c5e95d4332?cid=6410be731bfd4cf798c0e6e9a32589fc
173,blues,"Baby, Please Don't Go - Live",4kY1zORr6jt053J0d4PGHv,https://p.scdn.co/mp3-preview/21de1ca03e3ac8444ba50b22ddec43b5762ce837?cid=6410be731bfd4cf798c0e6e9a32589fc
174,blues,Green Onions - 45 Version,6KKcey1w86oP0qxN8frbfD,https://p.scdn.co/mp3-preview/4d7beeddb7d7c46981e6e8b40cfd7c04385ca42e?cid=6410be731bfd4cf798c0e6e9a32589fc
175,blues,"Bright Lights, Big City",3uNEUuL8U3RqHVyhiuD6DY,https://p.scdn.co/mp3-preview/e491cad60c42b95751087d4561f078cfcc16349c?cid=6410be731bfd4cf798c0e6e9a32589fc
176,blues,Key to the Highway,1r6Xp7EiQQ7F63HjbFHNJn,https://p.scdn.co/mp3-preview/f5709da10c53da45bec73b075b72175cc27c3c5b?cid=6410be731bfd4cf798c0e6e9a32589fc
177,blues,Ain't No Sunshine featuring Tracy Chapman,1amH1FjaNDAaZVpHWzcztW,https://p.scdn.co/mp3-preview/b573924a6698f5cd6f772b57f6bb6782e37907a0?cid=6410be731bfd4cf798c0e6e9a32589fc
179,blues,Voodoo Child (Slight Return) - Live,3eZaA3p7lMJjOD3BnKsj1U,https://p.scdn.co/mp3-preview/52f905890f37910c996f781b5d6f8e349f313443?cid=6410be731bfd4cf798c0e6e9a32589fc
185,blues,Rude Mood,1ZTdrHAfVVoij7fe3iFozS,https://p.scdn.co/mp3-preview/9fccfdae5626ee2a8f44e8fdb0b2fe55e47d9bf8?cid=6410be731bfd4cf798c0e6e9a32589fc
187,blues,Hold on I'm Coming,75N0xuUmZEOgXqB0OIcq59,https://p.scdn.co/mp3-preview/46285e64ea717aba15c000d1b7128c145994b9bc?cid=6410be731bfd4cf798c0e6e9a32589fc
191,blues,I'm Yours and I'm Hers,3ZL06rA9oe8JEKQQ3V6VCE,https://p.scdn.co/mp3-preview/1eb8f0ae38c013a4da0e07fb9e3a0d411e931cab?cid=6410be731bfd4cf798c0e6e9a32589fc
192,blues,The Go Getter,3Wwd0W89C56cCRilh8HFNs,https://p.scdn.co/mp3-preview/6e3527cdbc68b31abc64b3c14d2a511e3b37fb5d?cid=6410be731bfd4cf798c0e6e9a32589fc
193,blues,Dust Bowl,1i7QbG73o4liXhmbtaT7Z3,https://p.scdn.co/mp3-preview/606be72daf537fcc52d31aed2dba2499c140d6a1?cid=6410be731bfd4cf798c0e6e9a32589fc
194,blues,Stop,4aWZIBCBMQEgMna9JpgW90,https://p.scdn.co/mp3-preview/e0fb9f627adf27a92eb3d86db212a60c33846254?cid=6410be731bfd4cf798c0e6e9a32589fc
200,blues,Texas Flood,6MvGg9X7lIt64WW28Nxfxo,https://p.scdn.co/mp3-preview/da44b52235e69c044aa8ea220e0dd07377392f73?cid=6410be731bfd4cf798c0e6e9a32589fc
202,blues,Sweet Home Chicago,40ecCJ3Bd2QgJhZJnGqI9Q,https://p.scdn.co/mp3-preview/283fbd9bb55ced55c730b52f73edcb833bdc5cf8?cid=6410be731bfd4cf798c0e6e9a32589fc
203,blues,"Corinna - From ""The Natch'l Blues""",5aBpIqXfktr9SSwyAi8Hlj,https://p.scdn.co/mp3-preview/691cdec6f78e9748523fa5dd89cb4aa0e2af5f0a?cid=6410be731bfd4cf798c0e6e9a32589fc
205,blues,Little Wing,1xk0nRNpACW4gWbX713Oig,https://p.scdn.co/mp3-preview/1057bff6618936667784637e5d5da1dd90ff0cc1?cid=6410be731bfd4cf798c0e6e9a32589fc
206,blues,Take Out Some Insurance,59sx7to0uLGxOoBduj4Qdf,https://p.scdn.co/mp3-preview/a40bb308c53b4e1ee1293fb66c64dffa232049d9?cid=6410be731bfd4cf798c0e6e9a32589fc
208,blues,Change It,1KrOqTsy6nTZhKq26Vomqu,https://p.scdn.co/mp3-preview/cd40437e4e8ee1a9e8144fed416b094a643c2047?cid=6410be731bfd4cf798c0e6e9a32589fc
216,blues,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",6YEOmCsXSk9ZPE0FkcCiuQ,https://p.scdn.co/mp3-preview/f1a05b5812e488e2f8a062ab3b7165ead0ed4768?cid=6410be731bfd4cf798c0e6e9a32589fc
218,blues,Tighten Up,2MVwrvjmcdt4MsYYLCYMt8,https://p.scdn.co/mp3-preview/274a4c5e44179a6dad69d2ede7fcaa34a069fa7d?cid=6410be731bfd4cf798c0e6e9a32589fc
221,blues,Got My Mojo Working - Live,3LkhowDvQ0ky3LQ5L6TLFk,https://p.scdn.co/mp3-preview/1a006b6421c7cb65aefdc09900ed38876dd8ae4d?cid=6410be731bfd4cf798c0e6e9a32589fc
225,blues,House of the Rising Sun,3XC7Jd6SfrQYKZJ6inyRHK,https://p.scdn.co/mp3-preview/da7cd6105e6aaf6339bfd62ce077cae0d255832a?cid=6410be731bfd4cf798c0e6e9a32589fc
227,blues,Slow Train,1I32D5O8mjfQEglezN4bY0,https://p.scdn.co/mp3-preview/2f6b319ace8dda73003c3c67a251a6a706e081ac?cid=6410be731bfd4cf798c0e6e9a32589fc
228,blues,Lenny,1MIDCw2NTW3Dtn9c6ohSC8,https://p.scdn.co/mp3-preview/4bd53ed55517fc2a529757c0c33fc9a78acc525d?cid=6410be731bfd4cf798c0e6e9a32589fc
229,blues,When My Heart Beats Like a Hammer,44FnSZip0XhEBR3l7rPeJ1,https://p.scdn.co/mp3-preview/b8f80135cece6b54dd9bf85cab6f117f2c12ffaf?cid=6410be731bfd4cf798c0e6e9a32589fc
230,blues,What Kind Of Woman Is This?,0BrmbJnPYcd7gnvLYqxw0r,https://p.scdn.co/mp3-preview/df76ec3113cf2b21f5f5fb400cf3de2b8de11348?cid=6410be731bfd4cf798c0e6e9a32589fc
234,blues,Have You Ever Loved A Woman,6r99GoBd08u7ajWGpvdyxm,https://p.scdn.co/mp3-preview/4254c15ce9f8d0f5fcdd5032b3a915ddadc17560?cid=6410be731bfd4cf798c0e6e9a32589fc
235,blues,I've Got a Woman,2xar08Fq5xra2KKZs5Bw9j,https://p.scdn.co/mp3-preview/8b2ea0e22da313c4f85246c48de604937f399c99?cid=6410be731bfd4cf798c0e6e9a32589fc
237,blues,Sharp Dressed Man - 2008 Remaster,1UBQ5GK8JaQjm5VbkBZY66,https://p.scdn.co/mp3-preview/5be9776759c263721e1f75d03a12cc033a15fd99?cid=6410be731bfd4cf798c0e6e9a32589fc
241,blues,Riding with the King,618hiI74zBL8UVgAvfmkLj,https://p.scdn.co/mp3-preview/ba8e03f3cfc7e4f835e0f762dd5fd9d757afcf95?cid=6410be731bfd4cf798c0e6e9a32589fc
244,blues,Wall of Denial,4hnLubxViF8ScCBBWHUGGP,https://p.scdn.co/mp3-preview/f070b8696786f76f158c1c607bd9e7bb845c200d?cid=6410be731bfd4cf798c0e6e9a32589fc
245,blues,All Your Love (I Miss Loving),46UVOp5pnAasev0rak9ta7,https://p.scdn.co/mp3-preview/f2ed063cd6350bba99b46585882f16c35c4454d7?cid=6410be731bfd4cf798c0e6e9a32589fc
248,blues,The Sky Is Crying,1cRTAPP2FG9h2WiYMOIVIK,https://p.scdn.co/mp3-preview/f91eee7da940f10266e7637d032b2930d4d4077c?cid=6410be731bfd4cf798c0e6e9a32589fc
249,blues,Cold Shot,3QwDN08fGnGfRrsn5wLTej,https://p.scdn.co/mp3-preview/bac0ac0cf49adfe1266a5dbfff6b27b03685d52a?cid=6410be731bfd4cf798c0e6e9a32589fc
251,blues,Next Girl,2UE4m8egf0aREmOi47sDOk,https://p.scdn.co/mp3-preview/140b587b77264dec6927721ca595ffe682df8360?cid=6410be731bfd4cf798c0e6e9a32589fc
253,blues,"Going up to the Country, Paint My Mailbox Blue",5802AWZG6iAvFMawiGcoeU,https://p.scdn.co/mp3-preview/49da62b79fc362b4774d71fe58f07c367269de73?cid=6410be731bfd4cf798c0e6e9a32589fc
257,blues,Hey Joe,3VMMmMR4IYL28n7oKHyUoD,https://p.scdn.co/mp3-preview/068f5213a9bb0c2e92051f3d0cb5a49ab690424e?cid=6410be731bfd4cf798c0e6e9a32589fc
262,blues,Telephone Song,5JpzTcYa9V9HaIHKh1X3Qp,https://p.scdn.co/mp3-preview/43ed735abe04f0a202b8b6f68527161c4c9d1429?cid=6410be731bfd4cf798c0e6e9a32589fc
263,blues,Tennessee Plates,7IqgzG3pELbSdoIAInTI19,https://p.scdn.co/mp3-preview/cc94bdc5d9860023a311b4f36b16172d42ad538b?cid=6410be731bfd4cf798c0e6e9a32589fc
265,blues,Voodoo Child (Slight Return),6d3I7THB2bONUkxOo1DvmZ,https://p.scdn.co/mp3-preview/99ff9aeb7277fae58d72af32fc3e1982ab4c1907?cid=6410be731bfd4cf798c0e6e9a32589fc
269,blues,Grinnin' In Your Face,7bWhtFDDMgcA6DmFGGlS0C,https://p.scdn.co/mp3-preview/5e9df4d1a7c667a9a7ea9df808086383444c6bdc?cid=6410be731bfd4cf798c0e6e9a32589fc
273,blues,Dust My Broom,3LGB6BkiSmzP8IHo03rZMo,https://p.scdn.co/mp3-preview/89e0211d81816cbdec09f75c04f9203114da0838?cid=6410be731bfd4cf798c0e6e9a32589fc
274,blues,Champagne & Reefer - Live,2PatEYrrVBNx5LPjTL2ruP,https://p.scdn.co/mp3-preview/99df5250b7e31daa25515927f8f51c5a47a51382?cid=6410be731bfd4cf798c0e6e9a32589fc
276,blues,John the Revelator,3MCRz5li4Sp6SKfz2tqxn0,https://p.scdn.co/mp3-preview/b1f635034a125b5b235615ca8d41985de99c4ec3?cid=6410be731bfd4cf798c0e6e9a32589fc
277,blues,Soulshine,7a014uMHF3nlqzXCxV551C,https://p.scdn.co/mp3-preview/2fdcdc8e81561d6579a53352abd40f76a2858934?cid=6410be731bfd4cf798c0e6e9a32589fc
278,blues,Lead Me On,6i7pokV2JiF1et71olScGO,https://p.scdn.co/mp3-preview/8bfb732e3e6a36f635b7e445c14870cc6d661492?cid=6410be731bfd4cf798c0e6e9a32589fc
279,blues,Stang's Swang,125et00BL36tXeZqE22r4M,https://p.scdn.co/mp3-preview/6999ce8e41c50ce0aa44260e5556687217bfffa0?cid=6410be731bfd4cf798c0e6e9a32589fc
281,blues,Saint James Infirmary,4ccdgqrPG8n28V0FWnWWL9,https://p.scdn.co/mp3-preview/35304b2739bb4b8ad83b7a95d1e25508124db83f?cid=6410be731bfd4cf798c0e6e9a32589fc
283,blues,Come On In My Kitchen,10W125nMbncRGcXRBoACOx,https://p.scdn.co/mp3-preview/682cf1cebe91038ed4983d899e8acbb2b6b4398f?cid=6410be731bfd4cf798c0e6e9a32589fc
288,blues,Come Rain or Come Shine,2dAm3t3HT91qhKEgZFhzmv,https://p.scdn.co/mp3-preview/dc4fdde0abaa54161d5a675b9f514cdfed362a61?cid=6410be731bfd4cf798c0e6e9a32589fc
290,blues,True Lies,1vcUlV02bvKQn6ryzZqDVL,https://p.scdn.co/mp3-preview/5828c5c2fe0560a5c649259ab68e06bef4a5f069?cid=6410be731bfd4cf798c0e6e9a32589fc
291,blues,The Ballad of John Henry,1jIerjgmmIjYoiRaf0DaM0,https://p.scdn.co/mp3-preview/deea5de6a4b265211858aa100fb1c35f15fd2c19?cid=6410be731bfd4cf798c0e6e9a32589fc
298,blues,Days of Old,3VlifRGiFseYU1z0ShSYQ7,https://p.scdn.co/mp3-preview/252d3a26fa8a546e3dfe93b103afc4b78cb19728?cid=6410be731bfd4cf798c0e6e9a32589fc
299,blues,Dust My Broom,5OFBC4kORkftrrmf5huuKm,https://p.scdn.co/mp3-preview/ea0ca32edae295ef2b9356ffec81c53b3706df6b?cid=6410be731bfd4cf798c0e6e9a32589fc
